ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division
AM013400,Shri Ranjan Chatterjee,Assam Meghalya,2,P.G.,Social Planning,"Governance, Law and Management",Second
AM013400,Shri Ranjan Chatterjee,Assam Meghalya,3,LL.B.,Law,"Governance, Law and Management",Second
AM013500,Shri Samirendra Chatterjee,Assam Meghalya,0,Graduate,Physics (hons),Natural Sciences,First
AM013500,Shri Samirendra Chatterjee,Assam Meghalya,1,M.B.A.,Finance,Finance,First
AM013500,Shri Samirendra Chatterjee,Assam Meghalya,2,P.G.,Economics,Social Science and Liberal Arts,First
AM013500,Shri Samirendra Chatterjee,Assam Meghalya,3,P.G.,Physics,Natural Sciences,First
AM013700,Dr. Shiladitya Chatterjee,Assam Meghalya,0,Graduate,Economics,Social Science and Liberal Arts,Ordinary
AM013700,Dr. Shiladitya Chatterjee,Assam Meghalya,1,P.G.,Economics,Social Science and Liberal Arts,First
AM013700,Dr. Shiladitya Chatterjee,Assam Meghalya,2,Ph. D.,Economics,Social Science and Liberal Arts,Ordinary
AM013800,Shri Naba Kumar Das,Assam Meghalya,0,Graduate,Economics,Social Science and Liberal Arts,Second
AM013800,Shri Naba Kumar Das,Assam Meghalya,1,P.G.,History,Social Science and Liberal Arts,Second
AP024800,Shri Subhrendu Bhattacharya,Andhra Pradesh,0,Graduate,Physics,Natural Sciences,First
AP024800,Shri Subhrendu Bhattacharya,Andhra Pradesh,1,P.G.,History,Social Science and Liberal Arts,First
AP024800,Shri Subhrendu Bhattacharya,Andhra Pradesh,2,P.G.,Physics,Natural Sciences,First
AP024900,Shri Rajen Habib Khwaja,Andhra Pradesh,0,Graduate,History,Social Science and Liberal Arts,Second
AP024900,Shri Rajen Habib Khwaja,Andhra Pradesh,1,P.G.,History,Social Science and Liberal Arts,First
AP025100,Shri K Visweswara Rao,Andhra Pradesh,0,Graduate,Zoology,Natural Sciences,Second
AP025100,Shri K Visweswara Rao,Andhra Pradesh,1,P.G.,Marine Biology,Natural Sciences,First
AP025100,Shri K Visweswara Rao,Andhra Pradesh,2,P.G.,Public Admn,"Governance, Law and Management",Ordinary
AP025200,Ms. Minnie Mathew,Andhra Pradesh,0,Graduate,English Lit,Languages and Fine Arts,Second
AP025200,Ms. Minnie Mathew,Andhra Pradesh,1,P.G.,English Lit,Languages and Fine Arts,Second
AP025300,Shri Ashok Kumar Tigidi,Andhra Pradesh,0,Graduate,Political Sc.,Social Science and Liberal Arts,Second
AP025400,Shri A Ramalakshman,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second
AP025400,Shri A Ramalakshman,Andhra Pradesh,1,P.G.,Public Admn,"Governance, Law and Management",Second
BH026300,Shri Ashok Kumar Sinha,Bihar,0,Graduate,Physics,Natural Sciences,First
BH026500,Shri Anil Bhushan Prasad,Bihar,0,B.Sc.(Hons),Physics,Natural Sciences,Gold Medalist
BH026500,Shri Anil Bhushan Prasad,Bihar,1,Graduate,Law,"Governance, Law and Management",First
BH026500,Shri Anil Bhushan Prasad,Bihar,2,P.G.,Physics,Natural Sciences,First
BH026600,Shri Ajay Kumar,Bihar,0,Graduate,Political Sc.,Social Science and Liberal Arts,First
BH026600,Shri Ajay Kumar,Bihar,1,LL.B.,Law,"Governance, Law and Management",Ordinary
BH026600,Shri Ajay Kumar,Bihar,2,P.G.,Political Sc.,Social Science and Liberal Arts,First
BH026700,Shri Vijay Kumar Verma,Bihar,0,Graduate,Physics,Natural Sciences,First
BH026700,Shri Vijay Kumar Verma,Bihar,1,P.G.,Physics,Natural Sciences,First
BH027000,Shri Prabeer Kumar Basu,Bihar,0,Graduate,Physics,Natural Sciences,First
BH027000,Shri Prabeer Kumar Basu,Bihar,1,P.G.,Physics,Natural Sciences,First
BH027100,Dr. Anil Kumar,Bihar,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First
BH027100,Dr. Anil Kumar,Bihar,1,M.Phil.,Economic Dev.,Social Science and Liberal Arts,Ordinary
BH027100,Dr. Anil Kumar,Bihar,2,M.Sc.,Mathematics,"Engineering, Technology and Mathematics",First
BH027200,Shri Shashi Kant Sharma,Bihar,0,Graduate,Physics,Natural Sciences,Second
BH027200,Shri Shashi Kant Sharma,Bihar,1,P.G.,Political Sc.,Social Science and Liberal Arts,First
BH027200,Shri Shashi Kant Sharma,Bihar,2,M.Sc.,Admn.Sc.&Dev Problem,"Governance, Law and Management",-
BH027300,Shri Amal Chandra Biswas,Bihar,0,Graduate,Zoology,Natural Sciences,Second
BH027300,Shri Amal Chandra Biswas,Bihar,1,P.G.,Zoology,Natural Sciences,Second
UD038500,Ms. Vibha Puri Das,Uttarakhand,0,Graduate,History,Social Science and Liberal Arts,First
UD038500,Ms. Vibha Puri Das,Uttarakhand,1,P.G.,Political Sc.,Social Science and Liberal Arts,First
UD039900,Shri Vijendra Paul,Uttarakhand,0,Graduate,Zoology,Natural Sciences,Second
UD039900,Shri Vijendra Paul,Uttarakhand,1,P.G.,English Lit,Languages and Fine Arts,Ordinary
UD040100,Shri Nrip Singh Napalchyal,Uttarakhand,0,Graduate,English Lit,Languages and Fine Arts,Second
UD040100,Shri Nrip Singh Napalchyal,Uttarakhand,1,P.G.,English Lit,Languages and Fine Arts,Second
UP038400,Shri Pk Yadav,Uttar Pradesh,0,Graduate,Physics,Natural Sciences,First
UP038400,Shri Pk Yadav,Uttar Pradesh,1,P.G.,Physics,Natural Sciences,First
UP038600,Ms. Promilla Shanker,Uttar Pradesh,0,Graduate,History,Social Science and Liberal Arts,First
UP038700,Shri Ravindra Kumar Sharma,Uttar Pradesh,0,Graduate,History,Social Science and Liberal Arts,Second
UP038700,Shri Ravindra Kumar Sharma,Uttar Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First
UP038700,Shri Ravindra Kumar Sharma,Uttar Pradesh,2,P.G.,History,Social Science and Liberal Arts,Second
UP038800,Shri Pramod Deepak Sudhakar,Uttar Pradesh,0,Graduate,Physics,Natural Sciences,First
UP038800,Shri Pramod Deepak Sudhakar,Uttar Pradesh,1,P.G.,Physics,Natural Sciences,First
UP039000,Shri Vijay Kumar Sharma,Uttar Pradesh,0,Graduate,Physics,Natural Sciences,First
UP039000,Shri Vijay Kumar Sharma,Uttar Pradesh,1,P.G.,Physics,Natural Sciences,First
UP039100,Shri Pradeep Kumar Misra,Uttar Pradesh,0,B.A. Honours,Economics,Social Science and Liberal Arts,First
UP039100,Shri Pradeep Kumar Misra,Uttar Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First
