ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division
KL010600,Shri K J Mathew,Kerala,1,P.G.,English,Languages and Fine Arts,First
KL010700,Ms. Neela Gangadharan,Kerala,0,Graduate,Economics,Social Science and Liberal Arts,First
KL010700,Ms. Neela Gangadharan,Kerala,1,P.G.,Economics,Social Science and Liberal Arts,First
KL010800,Shri Ram Singh,Kerala,0,Graduate,Law,"Governance, Law and Management",Second
KL010800,Shri Ram Singh,Kerala,1,Graduate,Political Sc.,Social Science and Liberal Arts,Second
KL010800,Shri Ram Singh,Kerala,2,P.G.,Social Sciences,Social Science and Liberal Arts,Ordinary
KL010801,Shri Rudhra Gangadharan,Kerala,0,Certificate,Russian,Languages and Fine Arts,Ordinary
KL010801,Shri Rudhra Gangadharan,Kerala,1,Graduate,History,Social Science and Liberal Arts,Second
KL010801,Shri Rudhra Gangadharan,Kerala,2,P.G.,History,Social Science and Liberal Arts,First
KL010803,Shri A Mohd Hanefa,Kerala,0,Graduate,Physics,Natural Sciences,First
KL010803,Shri A Mohd Hanefa,Kerala,1,P.G.,Physics,Natural Sciences,First
KN018200,Shri S V Ranganath,Karnataka,0,Graduate,Chemistry,Natural Sciences,First
KN018200,Shri S V Ranganath,Karnataka,1,P.G.,Chemistry,Natural Sciences,Second
KN018300,Shri Richard Crasta,Karnataka,0,Graduate,Economics,Social Science and Liberal Arts,First
KN018500,Ms. Tara Ajai Singh,Karnataka,0,Diploma,Journalism,Social Science and Liberal Arts,First
KN018500,Ms. Tara Ajai Singh,Karnataka,1,Graduate,English Lit,Languages and Fine Arts,Second
KN018500,Ms. Tara Ajai Singh,Karnataka,2,P.G.,English Lit,Languages and Fine Arts,First
